Timestamp,Value
1777268947.5526426,231
1777268947.5527427,230
1777268947.5528524,221
1777268947.552915,215
1777268947.5529757,203
1777268947.5530362,186
1777268947.5530975,167
1777268947.5554633,139
1777268947.5555809,104
1777268947.5556364,76
1777268947.5556886,51
1777268947.5557394,27
1777268947.5557818,8
1777268947.5558355,-8
1777268947.5581672,-30
1777268947.5583897,-50
1777268947.5584612,-93
1777268947.5585313,-136
1777268947.5586007,-158
1777268947.558672,-181
1777268947.5608957,-205
1777268947.5610044,-223
1777268947.561078,-230
1777268947.561176,-230
1777268947.5612464,-230
1777268947.5635154,-222
1777268947.5637975,-207
1777268947.563905,-200
1777268947.563976,-178
1777268947.5640461,-152
1777268947.564116,-109
1777268947.5663755,-74
1777268947.5664907,-45
1777268947.5665576,-17
1777268947.5666094,11
1777268947.5666611,30
1777268947.5667107,57
1777268947.5667608,84
1777268947.569068,112
1777268947.5691595,157
1777268947.5692222,164
1777268947.5692832,180
1777268947.5693452,200
1777268947.5694482,217
1777268947.5716846,224
1777268947.5718107,239
1777268947.5718765,230
1777268947.5719373,228
1777268947.5720007,224
1777268947.5720613,216
1777268947.5721216,206
1777268947.574472,190
1777268947.5745754,171
1777268947.5746775,146
1777268947.5747457,113
1777268947.574797,83
1777268947.574847,59
1777268947.574904,38
1777268947.5772083,15
1777268947.5772903,-7
1777268947.5773551,-28
1777268947.5774176,-58
1777268947.5774772,-90
1777268947.577546,-131
1777268947.5799708,-159
1777268947.580302,-179
1777268947.5804265,-205
1777268947.580537,-223
1777268947.580612,-229
1777268947.5806818,-230
1777268947.5826757,-231
1777268947.5827866,-224
1777268947.5828643,-215
1777268947.582938,-201
1777268947.583008,-180
1777268947.5853827,-153
1777268947.585481,-112
1777268947.585544,-76
1777268947.5856054,-48
1777268947.585666,-19
1777268947.5857072,9
1777268947.5857594,24
1777268947.5881107,47
1777268947.5882077,74
1777268947.5882702,102
1777268947.5883307,146
1777268947.5883915,160
1777268947.5884516,175
1777268947.5907588,195
1777268947.590896,211
1777268947.5909626,222
1777268947.5910523,229
1777268947.5911145,229
1777268947.5911744,231
1777268947.5912366,227
1777268947.5936182,218
1777268947.5937252,208
1777268947.5938299,195
1777268947.593892,177
1777268947.5939572,154
1777268947.5940166,122
1777268947.5962365,90
1777268947.5963702,76
1777268947.596427,45
1777268947.596479,22
1777268947.5965226,0
1777268947.5965953,-15
1777268947.596655,-40
1777268947.5967605,-74
1777268947.5989625,-110
1777268947.5990713,-161
